NONTERMINAL,FIRST,FOLLOW
START,class function,null
Flsqbr,intlit rsqbr,lsqbr semi rpar comma
ASSIGNSTAT,id,null
CLASSDECL,class,class function
EXPR2,eq neq lt gt leq geq,comma rpar semi
FACTOR2,lpar dot lsqbr,rsqbr eq neq lt gt leq geq mult div and plus minus or comma rpar semi
FACTOR3,dot,rsqbr eq neq lt gt leq geq mult div and plus minus or comma rpar semi
FACTOR4,dot,rsqbr eq neq lt gt leq geq mult div and plus minus or comma rpar semi
FUNCDEF,function,class function
FUNCBODY,lcurbr,class function
FUNCHEAD,function,lcurbr
Ffunction,id,lcurbr
Fid2,lpar sr,lcurbr
Fsr,id constructor,lcurbr
FFUNCid,lpar dot lsqbr,null
FFUNCid2,dot,null
FUNCTIONCALL,id,null
Fid3,dot lpar lsqbr,id
Flocalvar,id,localvar if while read write return id rcurbr
Fid,colon,localvar if while read write return id rcurbr
Fcolon,integer float id,localvar if while read write return id rcurbr
FTYPE,semi lpar lsqbr,localvar if while read write return id rcurbr
LOCALVARDECL,localvar,localvar if while read write return id rcurbr
MEMBERFUNCDECL,function constructor,public private function constructor attribute rcurbr
FPARAMS,id,rpar
MEMBERVARDECL,attribute,public private function constructor attribute rcurbr
OPTCLASSDECL2,isa,lcurbr
ARITHEXPR,intlit floatlit lpar not id plus minus,rsqbr eq neq lt gt leq geq comma rpar semi
RELOP,eq neq lt gt leq geq,intlit floatlit lpar not id plus minus
APARAMSTAIL,comma,comma rpar
REPTAPARAMS1,comma,rpar
MEMBERDECL,function constructor attribute,public private function constructor attribute rcurbr
REPTCLASSDECL4,public private function constructor attribute,rcurbr
REPTFPARAMS3,lsqbr,rpar comma
FPARAMSTAIL,comma,comma rpar
REPTFPARAMS4,comma,rpar
REPTFPARAMSTAIL4,lsqbr,comma rpar
LOCALVARDECLORSTMT,localvar if while read write return id,localvar if while read write return id rcurbr
REPTFUNCBODY1,localvar if while read write return id,rcurbr
IDNEST,id,id
REPTFUNCTIONCALL0,id,null
REPTIDNEST1,lsqbr,dot
REPTLOCALVARDECL4,lsqbr,semi
ARRAYSIZE,lsqbr,lsqbr semi rpar comma
REPTMEMBERVARDECL4,lsqbr,semi
REPTOPTCLASSDECL22,comma,lcurbr
CLASSDECLORFUNCDEF,class function,class function
REPTSTART0,class function,null
INDICE,lsqbr,lsqbr dot rsqbr eq neq lt gt leq geq mult div and equal plus minus or comma rpar semi
RETURNTYPE,void integer float id,semi lcurbr
ADDOP,plus minus or,intlit floatlit lpar not id plus minus
RIGHTRECARITHEXPR,plus minus or,rsqbr eq neq lt gt leq geq comma rpar semi
MULTOP,mult div and,intlit floatlit lpar not id plus minus
SIGN,plus minus,intlit floatlit lpar not id plus minus
REPTSTATBLOCK1,if while read write return id,rcurbr
RELEXPR,intlit floatlit lpar not id plus minus,rpar
STATBLOCK,lcurbr if while read write return id,else semi
STATEMENT2,lpar dot semi lsqbr equal,else semi localvar if while read write return id rcurbr
STATEMENT3,dot semi equal,else semi localvar if while read write return id rcurbr
STATEMENT4,dot semi equal,else semi localvar if while read write return id rcurbr
STATEMENT,if while read write return id,else semi localvar if while read write return id rcurbr
ASSIGNOP,equal,intlit floatlit lpar not id plus minus
EXPR,intlit floatlit lpar not id plus minus,comma rpar semi
TERM,intlit floatlit lpar not id plus minus,rsqbr eq neq lt gt leq geq plus minus or comma rpar semi
FACTOR,intlit floatlit lpar not id plus minus,rsqbr eq neq lt gt leq geq mult div and plus minus or comma rpar semi
RIGHTRECTERM,mult div and,rsqbr eq neq lt gt leq geq plus minus or comma rpar semi
TYPE,integer float id,rpar lcurbr comma lpar lsqbr semi
FVARid,lpar dot lsqbr,equal rpar
REPTVARIABLE2,lsqbr,dot rsqbr eq neq lt gt leq geq mult div and equal plus minus or comma rpar semi
APARAMS,intlit floatlit lpar not id plus minus,rpar
FVARid2,dot,equal rpar
VARIABLE,id,equal rpar
VISIBILITY,public private,function constructor attribute
